name,category
Cajun_Baked_Catfish,Seafood
Crab_Cakes,Seafood
Garlic_Butter_Salmon,Seafood
Greek-Style_Garlic_Calamari,Seafood
Lobster_Tail_with_Pasta_and_White_Wine_Cream_Sauce,Seafood
Roasted_Chili-Lime_Cod_with_Corn_and_White_Rice,Seafood
Sardines_with_Sriracha_Sauce_on_a_Rice_Bowl,Seafood
Homestyle_Mac_and_Cheese,Comfort_Classics
Homey_Vegetable_Pot_Pie,Comfort_Classics
Slow-Cooked_Pot_Roast_with_Veggies,Comfort_Classics
Rich_and_Hearty_Vegan_Chili,Comfort_Classics
Meatloaf_with_Mashed_Potatoes,Comfort_Classics
BBQ_Pulled_Pork_Sandwich,Comfort_Classics
Tandoori_Chicken_and_Naan,Asian_Delights
Teriyaki_Salmon_with_Sushi_Rice,Asian_Delights
Pad_Thai_with_Shrimp_and_Peanuts,Asian_Delights
Coconut_Thai_Curry,Asian_Delights
Stir_Fried_Noodles_with_Fresh_Veggies,Asian_Delights
Vietnamese_Pho_with_Rare_Beef,Asian_Delights
Creamy_Tiramisu_Delight,Delightful_Desserts
Classic_New_York_Cheesecake,Delightful_Desserts
Caramel_Apple_Crisp,Delightful_Desserts
Dairy-Free_Chocolate_Chip_Brownies,Delightful_Desserts
Vegan_Key_Lime_Pie_Bites,Delightful_Desserts
Savory-Sweet_Bread_Pudding,Delightful_Desserts
Creamy_Tuscan_Garlic_Salmon,Inspiring_Italian
Mushroom_Risotto,Inspiring_Italian
Savory_Spaghetti_Aglio_e_Olio,Inspiring_Italian
Ratatouille_Medley,Inspiring_Italian
Zucchini_and_Tomato_Bake,Inspiring_Italian
Herbed_Pork_Tenderloin_with_Garlic_Herb_Potatoes,Inspiring_Italian
Turkey_Lasagna,Italian
Pasta_with_Basil_Diced_Tomatoes_Shrimp_and_Seasoned_White_Sauce,Italian
Healthy_Tomato_Pesto_and_Chicken_Pizza,Italian
Risotto_with_Braised_Chicken_Kale_and_White_Beans,Italian
Cheesy_Baked_Broccoli_Gnocchi,Italian
Classic_Mushroom_Tacos_with_Fresh_Salsa,Marvelous_Mexican
Crispy_Chiles_Rellenos_Stuffed_with_Cheese,Marvelous_Mexican
Mole_Poblano_with_Tender_Chicken,Marvelous_Mexican
Savory_Tamales_with_Salsa_Verde,Marvelous_Mexican
Zesty_Chicken_Enchiladas,Marvelous_Mexican
Sizzling_Fajitas_with_Grilled_Peppers_and_Onions,Marvelous_Mexican
